DATE_TIME,current_contract,next_contract,carry_contract
1988-11-21 23:00:00,19891100,19891200,19881200
1989-10-13 23:00:00,19891200,19901100,19891100
1989-11-21 23:00:00,19901100,19901200,19891200
1990-10-15 23:00:00,19901200,19911100,19901100
1990-11-20 23:00:00,19911100,19911200,19901200
1991-10-15 23:00:00,19911200,19921100,19911100
1991-11-21 23:00:00,19921100,19921200,19911200
1992-10-14 23:00:00,19921200,19931100,19921100
1992-11-23 23:00:00,19931100,19931200,19921200
1993-10-13 23:00:00,19931200,19941100,19931100
1993-11-22 23:00:00,19941100,19941200,19931200
1994-10-13 23:00:00,19941200,19951100,19941100
1994-11-21 23:00:00,19951100,19951200,19941200
1995-10-13 23:00:00,19951200,19961100,19951100
1995-11-20 23:00:00,19961100,19961200,19951200
1996-10-15 23:00:00,19961200,19971100,19961100
1996-11-21 23:00:00,19971100,19971200,19961200
1997-10-14 23:00:00,19971200,19981100,19971100
1997-11-21 23:00:00,19981100,19981200,19971200
1998-10-14 23:00:00,19981200,19991100,19981100
1998-11-23 23:00:00,19991100,19991200,19981200
1999-10-13 23:00:00,19991200,20001100,19991100
1999-11-22 23:00:00,20001100,20001200,19991200
2000-10-13 23:00:00,20001200,20011100,20001100
2000-11-20 23:00:00,20011100,20011200,20001200
2001-10-15 23:00:00,20011200,20021100,20011100
2001-11-20 23:00:00,20021100,20021200,20011200
2002-10-15 23:00:00,20021200,20031100,20021100
2002-11-21 23:00:00,20031100,20031200,20021200
2003-10-14 23:00:00,20031200,20041100,20031100
2003-11-21 23:00:00,20041100,20041200,20031200
2004-10-14 23:00:00,20041200,20051100,20041100
2004-11-22 23:00:00,20051100,20051200,20041200
2005-10-13 23:00:00,20051200,20061100,20051100
2005-11-21 23:00:00,20061100,20061200,20051200
2006-10-13 23:00:00,20061200,20071100,20061100
2006-11-20 23:00:00,20071100,20071200,20061200
2007-10-15 23:00:00,20071200,20081100,20071100
2007-11-19 23:00:00,20081100,20081200,20071200
2008-10-14 23:00:00,20081200,20091100,20081100
2008-11-21 23:00:00,20091100,20091200,20081200
2009-10-14 23:00:00,20091200,20101100,20091100
2009-11-23 23:00:00,20101100,20101200,20091200
2010-10-13 23:00:00,20101200,20111100,20101100
2010-11-22 23:00:00,20111100,20111200,20101200
2011-10-13 23:00:00,20111200,20121100,20111100
2011-11-21 23:00:00,20121100,20121200,20111200
2012-10-15 23:00:00,20121200,20131100,20121100
2012-11-19 23:00:00,20131100,20131200,20121200
2013-10-11 23:00:00,20131200,20141100,20131100
2013-11-21 23:00:00,20141100,20141200,20131200
2014-10-09 23:00:00,20141200,20151100,20141100
2014-11-20 23:00:00,20151100,20151200,20141200
2015-10-14 23:00:00,20151200,20160100,20151100
2015-11-13 23:00:00,20160100,20160200,20151200
2015-12-15 23:00:00,20160200,20160300,20160100
2016-01-13 23:00:00,20160300,20160400,20160200
2016-02-12 23:00:00,20160400,20160500,20160300
2016-03-15 23:00:00,20160500,20160600,20160400
2016-04-13 23:00:00,20160600,20160700,20160500
2016-05-13 23:00:00,20160700,20160800,20160600
2016-06-14 23:00:00,20160800,20160900,20160700
2016-07-14 23:00:00,20160900,20161000,20160800
2016-08-15 23:00:00,20161000,20161100,20160900
2016-09-14 23:00:00,20161100,20161200,20161000
2016-10-13 23:00:00,20161200,20170100,20161100
2016-11-15 23:00:00,20170100,20170200,20161200
2016-12-14 23:00:00,20170200,20170300,20170100
2017-01-11 23:00:00,20170300,20170400,20170200
2017-02-13 23:00:00,20170400,20170500,20170300
2017-03-14 23:00:00,20170500,20170600,20170400
2017-04-13 23:00:00,20170600,20170700,20170500
2017-05-15 23:00:00,20170700,20170800,20170600
2017-06-14 23:00:00,20170800,20170900,20170700
2017-07-14 23:00:00,20170900,20171000,20170800
2017-08-15 23:00:00,20171000,20171100,20170900
2017-09-13 23:00:00,20171100,20171200,20171000
2017-10-13 23:00:00,20171200,20180100,20171100
2017-11-14 23:00:00,20180100,20180200,20171200
2017-12-14 23:00:00,20180200,20180300,20180100
2018-01-11 23:00:00,20180300,20180400,20180200
2018-02-13 23:00:00,20180400,20180500,20180300
2018-03-14 23:00:00,20180500,20180600,20180400
2018-04-13 23:00:00,20180600,20180700,20180500
2018-05-15 23:00:00,20180700,20180800,20180600
2018-06-13 23:00:00,20180800,20180900,20180700
2018-07-16 23:00:00,20180900,20181000,20180800
2018-08-14 23:00:00,20181000,20181100,20180900
2018-09-16 23:00:00,20181100,20181200,20181000
2018-10-14 23:00:00,20181200,20190100,20181100
2018-11-13 00:00:00,20190100,20190200,20181200
2018-12-12 02:00:00,20190200,20190300,20190100
2019-01-09 02:00:00,20190300,20190400,20190200
2019-02-08 02:00:00,20190400,20190500,20190300
2019-03-11 02:00:00,20190500,20190600,20190400
2019-04-14 23:00:00,20190600,20190700,20190500
2019-05-14 00:00:00,20190700,20190800,20190600
2019-06-12 00:00:00,20190800,20190900,20190700
2019-07-12 02:00:00,20190900,20191000,20190800
2019-08-12 00:30:00,20191000,20191100,20190900
2019-09-11 01:30:00,20191100,20191200,20191000
2019-10-11 01:30:00,20191200,20200100,20191100
2019-11-11 01:00:00,20200100,20200200,20191200
2019-12-12 01:00:00,20200200,20200300,20200100
2020-01-10 01:00:00,20200300,20200400,20200200
2020-02-10 01:00:00,20200400,20200500,20200300
2020-03-11 01:00:00,20200500,20200600,20200400
2020-04-13 00:00:00,20200600,20200700,20200500
2020-05-11 01:00:00,20200700,20200800,20200600
2020-06-11 16:00:00,20200800,20200900,20200700
2020-07-13 16:00:00,20200900,20201000,20200800
2020-08-11 16:00:00,20201000,20201100,20200900
2020-09-11 16:00:00,20201100,20201200,20201000
2020-10-12 17:00:00,20201200,20210100,20201100
2020-11-11 16:00:00,20210100,20210200,20201200
2020-12-11 16:00:00,20210200,20210300,20210100
2021-01-08 16:00:00,20210300,20210400,20210200
2021-02-09 16:00:00,20210400,20210500,20210300
2021-03-11 16:00:00,20210500,20210600,20210400
2021-04-12 17:00:00,20210600,20210700,20210500
2021-05-11 17:00:00,20210700,20210800,20210600
2021-05-14 17:00:00,20210800,20210900,20210700
2021-05-18 19:00:00,20210900,20211000,20210800
2021-08-18 16:00:00,20211000,20211100,20210900
2021-09-03 15:00:00,20211100,20211200,20211000
2021-10-12 19:00:00,20211200,20220100,20211100
2021-10-29 19:00:00,20220100,20220200,20211200
2021-11-24 15:00:00,20220200,20220300,20220100
2021-12-09 19:00:00,20220300,20220400,20220200
2022-02-17 20:00:00,20220400,20220500,20220300
2022-03-08 20:00:00,20220500,20220600,20220400
2022-04-18 19:00:00,20220600,20220700,20220500
2022-05-16 17:00:01,20220700,20220800,20220600
2022-06-10 17:00:01,20220800,20220900,20220700
2022-07-14 18:00:02,20220900,20221000,20220800
2022-07-18 18:00:02,20221000,20221100,20220900
2022-09-09 17:00:01,20221100,20221200,20221000
2022-09-29 17:00:01,20221200,20230100,20221100
2022-10-25 18:00:01,20230100,20230200,20221200
2022-11-28 19:00:01,20230200,20230300,20230100
2022-12-12 16:00:01,20230300,20230400,20230200
2023-01-20 15:00:01,20230400,20230500,20230300
2023-02-17 23:00:01,20230500,20230600,20230400
2023-04-12 20:00:01,20230600,20230700,20230500
2023-04-27 20:00:02,20230700,20230800,20230600
2023-05-19 20:00:02,20230800,20230900,20230700
2023-06-21 20:00:02,20230900,20231000,20230800
2023-08-11 23:00:01,20231000,20231100,20230900
2023-08-11 23:00:02,20231100,20231200,20231000
2023-09-27 20:00:01,20231200,20240100,20231100
